브랜드,구분,내용 요약,핵심 키워드,AI 분석 톤,확신도,형용사 수 
에스트라,Part 1,태평양제약에서 시작된 헤리티지에 기반해 오래도록 건강한...,"아름다움, 건강, 태평양, 제약, 시작",의학적/전문적인,0.32,1
에스트라,Part 2,에스트라가 의사를 만나는 이유     일시적 윤기와 잠...,"피부, 인증, 에스, 의료, 기기",의학적/전문적인,0.42,15
에스트라,Part 3,병원 밖으로 나온 더마 with 올리브영     에스트...,"병원, 시판, 고객, 라인, 화장품",도전적/혁신적인,0.50,7
AP,Part 1,$APEX OF SKINCARE TO UNVEIL BE...,"스킨케어, 한계, 경지, 정점, 아름다움",도전적/혁신적인,1.00,5
AP,Part 2,APEX OF SKINCARE     새로운 차원의 피...,"피부, 과학, 연구, 선도, 독자",도전적/혁신적인,0.96,4
아윤채,Part 1,Detailed & High Performing Sal...,"아윤채, 디자이너, 고객, 생각, 불편",감성적/부드러운,0.54,1
아윤채,Part 2,디자이너 살롱 워크를 위한 PRO와 데일리 헤어 라이프...,"헤어, 살롱, 워크, 데일리, 라이프",감성적/부드러운,0.56,1
비레디,Part 1,"Ordinary, but extraordinary   ...","자유, 센스, 남자, 취향, 레디",감성적/부드러운,0.89,4
비레디,Part 2,더 세련된 방식으로 나를 표현하도록 도와주는     각...,"자신, 표현, 스타일링, 세련, 방식",감성적/부드러운,0.88,2
비레디,Part 3,중요한 순간에 준비된 나를 만들어주는     나의 스타...,"중요, 순간, 준비, 스타일, 무드",신뢰감/진정성있는,0.67,0
코스알엑스,Part 1,"오직 성분으로, 오직 코스알엑스     ""Cosmeti...","성분, 화장품, 코스, 알, 엑스",신뢰감/진정성있는,0.77,3
코스알엑스,Part 2,미스터 알엑스는 오랜시간 동안 일상 속 뷰티 라이프 스...,"알, 엑스, 미스터, 뷰티, 코스",감성적/부드러운,0.56,4
코스알엑스,Part 3,brand concept Soft Skin Care  ...,"자극, 피부, 민감, 스킨케어, 친화",감성적/부드러운,0.96,1
에스쁘아,Part 1,자신만의 룩을 찾을 수 있도록 영감을 주는 Makeup...,"메이크업, 자신, 룩, 수, 영감",도전적/혁신적인,0.80,1
에스쁘아,Part 2,Detailed by Professionals     ...,"컬러, 쉐이드, 디테일, 크리, 에이",도전적/혁신적인,0.48,0
에스쁘아,Part 3,BEAUTY CREATED     BY DETAILS....,,신뢰감/진정성있는,0.55,0
에뛰드,Part 1,Make Your Makeup Playlist! ETU...,"메이크업, 에뛰드, 문화, 경험, 전파",도전적/혁신적인,0.43,5
에뛰드,Part 2,color 라이프 스타일의 다채로움     Pink 유...,"스타일, 연습곡, 변화, 수, 라이프",신뢰감/진정성있는,0.58,7
에뛰드,Part 3,"Loved Products     자타공인, 역대 가장...","마스카라, 연속, 위, 기준, 컬링",신뢰감/진정성있는,0.95,1
젠티스트,Part 1,구강 고민에 독창적인 솔루션을 제공하는 덴탈케어 브랜드...,"고민, 독창, 데, 탈, 케어",도전적/혁신적인,0.99,1
젠티스트,Part 2,아모레퍼시픽의 전문적이고 체계적인 41년 구강 연구 노...,"구강, 아모레퍼시픽, 전문, 체계, 년",의학적/전문적인,0.94,1
한율,Part 1,나만의 건강한 균형     Everyday glass ...,"피부, 건강, 한국, 여성, 마음",감성적/부드러운,0.72,2
한율,Part 2,"한국의 이로움으로 전하는 균형 잡힌 아름다움, 한율  ...","수, 한국, 로컬, 극대, 효과",신뢰감/진정성있는,0.54,10
한율,Part 3,"피부 스스로 강해질 수 있는 힘,     마이크로바이옴...","과학, 피부, 균형, 한국, 발효",신뢰감/진정성있는,0.77,11
해피바스,Part 1,일상에 행복을 더하는 향과 건강한 원료를 담은     ...,"향, 행복, 브랜드, 일상, 년",감성적/부드러운,0.81,3
해피바스,Part 2,"온가족이 함께 쓰는 바디클렌저, 안전한 원료와 믿을 수...","고객, 바디, 가족, 클렌저, 안전",신뢰감/진정성있는,0.97,3
헤라,Part 1,Contemporary Seoul Beauty     ...,"서울, 자신, 헤라, 아름다움, 해석",도전적/혁신적인,0.63,9
헤라,Part 2,SENSUAL POWDER MATTE LIQUID   ...,,감성적/부드러운,0.76,0
헤라,Part 3,CONTEMPORARY     SEOUL BEAUTY ...,"서울, 자신, 헤라, 아름다움, 해석",도전적/혁신적인,0.70,9
홀리추얼,Part 1,Holistic Rituals for Skin Well...,"전문가, 얼, 혁신, 기술, 에스테틱",의학적/전문적인,0.85,1
홀리추얼,Part 2,우리는 거울 앞 무의미하게 반복되는 당신의 스킨케어 루...,"자신, 얼, 감각, 추, 거울",감성적/부드러운,0.59,0
일리윤,Part 1,Amorepacific     민감한 피부 고민에 대한...,"피부, 연구, 민감, 수, 리",감성적/부드러운,0.83,25
일리윤,Part 2,"INTERVIEW 01     모윤희     (17, ...","피부, 윤, 리, 수, 세라마이드",감성적/부드러운,0.40,29
일리윤,Part 3,주요성분     3가지 핵심성분     피토 세라마이드...,"피부, 세라마이드, 보습, 케어, 경험",도전적/혁신적인,0.39,18
이니스프리,Part 1,"Effective, Nature-Powered Skin...","무한, 에너지, 자연, 탐구, 아름다움",도전적/혁신적인,0.87,2
이니스프리,Part 2,the Origin of INNISFREE     천혜...,"녹차, 수, 피부, 이니스프리, 년",도전적/혁신적인,0.94,4
이니스프리,Part 3,with INNISFREE     Better for ...,"제품, 환경, 이니스프리, 보전, 제주",도전적/혁신적인,0.41,5
아이오페,Part 1,클리니컬 레벨 테크(Clinical Level Tech...,"효능, 변화, 피부, 클리니컬, 레벨",신뢰감/진정성있는,0.62,3
아이오페,Part 2,IOPE LAB     아이오페 랩은 브랜드의 오리진으...,"피부, 연구, 기술, 아이오페, 미래",도전적/혁신적인,0.99,2
아이오페,Part 3,ESSENCE & BENEFIT     피부미래연구소 ...,"고객, 솔루션, 이노베이터, 직접, 만남",의학적/전문적인,0.74,4
라보에이치,Part 1,두피 스킨케어 전문가_라보에이치     아모레퍼시픽 피...,"두피, 라보, 근본, 솔루션, 스킨케어",의학적/전문적인,0.66,1
라보에이치,Part 2,LABOratory Of Honesty     진심을 ...,"두피, 연구, 피부, 진심, 연구소",신뢰감/진정성있는,0.76,1
라보에이치,Part 3,스칼프베리어218™     라보에이치가 선택한 단 하나...,"스칼프베리어, 선택, 성분, 기술, 프로바이오틱스",도전적/혁신적인,0.48,1
라네즈,Part 1,아름다움을 향한 끝없는 호기심     OPEN TO W...,"호기심, 힘, 만약, 시작, 가능",도전적/혁신적인,0.97,24
라네즈,Part 2,THE CORE PRODUCT PILLARS     H...,"피부, 수분, 보습, 기술, 라네즈",도전적/혁신적인,0.71,5
라네즈,Part 3,SLEEPING BEAUTY TECHNOLOGY    ...,"제품, 피부, 수, 스킨케어, 제공",도전적/혁신적인,0.63,7
롱테이크,Part 1,깊은 숲에서 영감을 받은 감성향 지속가능 브랜드    ...,"지속, 가능, 브랜드, 감, 성향",감성적/부드러운,0.85,1
롱테이크,Part 2,사람의 발길이 닿지 않은 깊은 숲에서 영감을 받은 감각...,"사람, 발길, 편안, 우디, 일상",감성적/부드러운,0.99,2
메이크온,Part 1,"피부를 잘 아는 뷰티 디바이스, 메이크온     메이크...","뷰티, 디바이스, 메이크, 아, 열망",도전적/혁신적인,0.68,2
메이크온,Part 2,"메이크온은 빛(Light), 열(Heat), 이온(Io...","빛, 열, 이온, 진동, 포함",도전적/혁신적인,0.98,2
